Expt'l Mr (Da)	I	RT
21828.9508	2496172	34.5
21828.9447	1910745	35
18688.3804	1526784	38
18688.382	1140137	37.5
32729.7284	1013468	32
13780.5393	575439	32
17188.7273	473494	36.5
25905.3238	446031	26
25905.3218	423474	25.5
17041.9206	356036	33.5
17188.7326	338153	36
32729.7252	309661	32.5
13780.5378	303255	32.5
13890.8168	296286	31
14007.9128	287141	31.5
20862.426	269647	36
9257.0072	267450	11
21847.9385	258016	34.5
23983.7794	255582	30.5
13765.5275	249898	32
21828.9501	241163	35.5
32809.6913	233657	31.5
18689.3789	225251	38.5
32996.258	217636	42
23983.7748	206323	31
32729.7315	202530	31.5
17041.92	200549	34
25826.3579	194662	25.5
11298.383	190354	31
13997.8674	170183	31
9257.0066	170011	11.5
18390.4728	166666	34
13750.5283	163738	32
11298.3829	156596	31.5
25826.3606	155821	26
24063.7401	146675	31
30890.8	146315	27.5
13630.6882	142234	25
20188.4445	140302	31
18708.3698	138655	37.5
21849.9278	137007	35
18710.3649	129386	38
41813.8949	129216	40.5
15656.7099	123565	19
24063.7439	123156	30.5
13765.526	119432	32.5
13890.8138	117588	31.5
32996.2535	111978	41.5
13780.54	111054	31.5
30890.8035	106847	28
16304.0039	106749	27
13432.952	105916	28
32809.6922	105899	32
20862.4208	103820	36.5
9402.1906	102581	11
9402.1887	100972	11.5
21762.9876	99731	22.5
11341.3949	99204	31.5
14007.9097	98361	31
13153.4339	98209	20.5
17746.5872	97436	29.5
13796.5344	95142	32
15648.6458	90608	20
10914.4828	90348	34.5
10913.9786	89934	34.5
17618.8409	87495	29.5
10914.9793	87230	35
23902.8096	86863	30.5
10914.477	83907	35
12114.8686	83759	21
32751.7173	83602	32
21844.934	83544	34
18432.5393	82912	43.5
21812.9399	82318	34.5
21828.9516	81891	36
15919.4968	81692	25.5
11341.3956	78476	31
20824.8765	77971	22
24610.0022	77454	43
18330.9742	77257	21.5
13750.5276	75088	32.5
20903.8396	74916	22
15409.3486	74701	29
14767.0277	73419	25
17188.7212	72838	37
22388.9784	72430	23.5
17247.5359	71424	17
16940.1555	71148	26
21461.8723	70174	37
32871.6113	70015	32.5
14698.9289	68563	33
22388.9773	67525	23
17145.6487	67125	30.5
21871.9117	66275	34.5
41813.8943	64871	40
23768.5719	63457	39
14411.5251	62619	21.5
14154.8031	62100	22
5447.9665	61395	17.5
20630.1639	61182	33.5
21812.9338	59921	35
13921.8988	59880	31.5
15375.7703	59198	26.5
13766.5259	58678	31.5
13822.5382	58389	32
15718.7612	57070	25
21828.9422	56700	36.5
15390.1121	55522	30.5
18432.5381	55208	44
13997.8668	53984	30.5
13994.8955	53190	31.5
16131.4968	52786	30
15257.5455	52746	35.5
13158.051	51016	13.5
15271.5521	50927	35.5
21828.938	50716	37
13796.5325	50559	32.5
12652.9256	50200	22.5
24609.9966	50125	43.5
15682.6781	49888	23
21871.9061	49794	35
15285.5542	49515	35.5
23745.1388	49278	36
23902.8079	49242	31
17080.6321	49173	27
18732.3418	49059	38
15065.9035	48259	30.5
11312.3983	48240	31
35960.0312	48118	28
35933.0247	48094	28
32671.7035	47890	32.5
21261.7316	47356	23
32729.7144	46942	33
32996.2512	46591	42.5
15409.3503	45901	28.5
14087.8799	45437	31.5
13369.4941	45369	30.5
19753.047	45120	36.5
14049.9144	44761	31.5
18635.8322	44585	31
18941.9365	44553	27.5
15257.5415	44463	35
15375.7695	44283	27
13412.5129	43711	30.5
15243.5362	43250	35.5
13822.5386	43066	32.5
15299.5583	42845	35.5
15919.4905	42824	25
21860.9332	42804	34.5
20761.1646	42767	20.5
5447.9664	42083	17
14646.771	41802	26
15037.8694	41433	30
12114.8701	40674	20.5
15271.5483	40514	35
21889.8915	40287	34.5
18731.3434	40131	37.5
18422.0226	38794	19
18769.3253	38790	38
13921.9033	38763	32
14154.7962	38736	22.5
15313.5622	38371	35.5
21860.9395	38127	35.5
16851.5895	37492	36.5
13809.5358	37226	32
20150.6173	37216	27
14617.1704	37116	33.5
20631.1701	36985	34
13153.432	36932	21
11312.3957	36794	31.5
34560.369	36745	24.5
13022.9241	36695	33
30031.829	36671	37.5
25925.3101	35634	25.5
15285.5507	35598	35
15037.872	35296	30.5
13630.6873	35258	24.5
15243.5285	35106	35
13970.7835	35050	31
41844.875	34865	40.5
14038.8902	34816	31
13750.5303	34457	31.5
18671.3702	33566	38
32751.6993	33140	32.5
12440.7428	33070	21
18917.3735	33066	29
15656.7061	32745	19.5
25926.3135	31852	26
15327.5651	31830	35.5
25887.3117	31715	25.5
21602.9866	31595	35
25906.3153	31433	26.5
18752.3282	31415	38
33950.8363	31392	41.5
26373.5636	31288	26
17206.7272	31200	36
21828.9394	31192	38.5
21861.9308	31132	34
18941.9397	31108	28
22190.2533	30877	34
21890.8896	30732	35
21828.9397	30577	37.5
23745.1358	30418	36.5
32772.6936	30249	32
20188.4483	30050	30.5
13432.9503	30023	27.5
15299.554	29982	35
25887.3163	29820	26
13970.7852	28950	31.5
13429.1935	28923	28.5
20516.2259	28739	36
26582.4172	28672	33
17208.7173	27866	36.5
21261.7323	27722	22.5
35526.2171	27677	28
14617.1701	27660	34
22679.4816	27657	32.5
20903.837	27518	22.5
15348.1004	27514	30.5
14077.8381	27309	31
16304.0056	26956	27.5
14037.9044	26940	31.5
26373.5597	26899	25.5
32712.7512	26788	32
32750.7201	26704	31.5
21828.9418	26527	38
18510.0157	26387	30.5
11284.3703	26368	31
10521.5459	26327	12
25985.2906	26261	26
32698.6581	25979	32.5
21762.9934	25732	23
18702.3785	25212	37.5
13931.8158	25028	31
12440.7463	24665	21.5
21906.8754	24524	34.5
18752.3289	24512	37.5
13780.5343	24418	33
15313.5569	24416	35
33018.2451	24192	42
21461.8713	24079	36.5
32240.7108	24035	42.5
22432.4333	23893	30
14767.0279	23852	24.5
32831.682	23663	31.5
42942.8971	23637	33.5
15341.5679	23447	35.5
13809.5351	23430	32.5
22155.2802	23228	29.5
10137.4334	23194	20.5
17869.8517	23153	31
21828.9451	23100	39
18671.3706	23064	37.5
33010.6476	22661	32.5
20719.1532	22639	20.5
32872.6095	22598	33
19958.0109	21723	30.5
11284.3694	21682	31.5
23719.4623	21530	25.5
15229.5212	21380	35.5
32790.6817	21341	32
19961.0321	21114	33.5
33047.6273	21105	32.5
25986.2863	20918	25.5
21847.937	20887	35.5
18700.3851	20700	38
16436.0041	20413	23.5
22548.5204	20398	30
21799.9169	20264	34.5
15390.1128	20127	31
15229.3498	20085	23
18710.3626	20064	38.5
18390.4772	20063	34.5
9343.6966	19986	38
30910.7925	19842	27.5
21828.9432	19646	39.5
20883.4102	19610	36
17062.9035	19586	33.5
13796.5343	19521	31.5
17080.6319	19454	27.5
21908.8728	19090	35
18401.6333	18939	30
32809.6787	18874	32.5
21928.8663	18776	34.5
41845.8745	18773	40
35960.0272	18665	27.5
21849.8118	18637	32.5
26398.527	18582	40
18510.0126	18463	30
9510.8681	18332	18
32830.6698	18287	32
18688.3829	18264	39
35933.0186	18239	27.5
18635.8353	18202	30.5
25922.2988	18150	25
21860.9289	18133	35
35526.2067	18113	28.5
13933.8246	18080	31.5
11382.3956	17981	31.5
24365.4173	17957	25.5
11326.3926	17873	31
18422.0234	17781	19.5
33016.2433	17617	41.5
8595.382	17602	36.5
14416.456	17547	31
15327.5599	17545	35
16365.365	17413	32
17618.8398	17396	30
16365.8658	17372	32
8594.8778	17285	36.5
14006.9079	17076	32
15355.5678	17038	35.5
12652.9276	17034	22
24002.7676	17003	30.5
25940.3065	16805	25.5
21828.9458	16632	40
20823.8696	16609	22.5
11355.3926	16454	31
11355.397	16398	31.5
17236.7106	16378	36
14403.7608	16367	27
23983.7733	16296	31.5
22773.0474	16286	36
11326.3892	16127	31.5
13838.521	16091	32
14074.8691	15962	31.5
26582.42	15935	33.5
41813.8637	15892	41
41635.7516	15887	39.5
16131.5	15886	30.5
18789.295	15877	38
13275.2787	15842	26.5
18769.3144	15775	37.5
32729.7192	15757	33.5
9343.1983	15637	38
25940.3104	15570	26
24384.8207	15564	24.5
14027.8937	15538	31.5
13796.5351	15535	30.5
15229.5144	15425	35
14403.7633	15244	26.5
22773.0425	15208	36.5
15509.6431	15172	18.5
13412.5135	15041	31
10431.7182	15002	36
21778.9931	14939	22.5
12644.699	14903	27
9344.2029	14890	37.5
21828.9248	14801	44
10431.223	14799	36
20276.5889	14720	32.5
20516.2211	14685	36.5
21927.8621	14629	35
33047.6183	14583	33
35606.168	14499	28.5
21828.9461	14487	40.5
16146.5089	14483	30
21602.9941	14462	34.5
21877.9224	14436	34
23768.5697	14390	39.5
34127.0973	14377	29
15110.0443	14360	31
33011.6439	14301	33
24876.1557	14218	43
21828.9247	14187	44.5
11414.1479	14132	22
16852.5971	14106	36
21800.912	14105	35
16436.0036	13928	23
35882.192	13715	40.5
15474.5805	13694	20
20188.4452	13686	31.5
13369.4968	13657	31
24063.7405	13547	31.5
25846.3383	13540	25.5
12876.0461	13478	26.5
21828.9327	13440	41
22548.5298	13387	30.5
10439.0678	13330	14.5
29820.2072	13242	24
9363.9086	13231	37
12311.0915	13207	13
18704.376	13079	37
17145.6476	13068	30
15342.5622	12972	35
17234.7026	12954	36.5
17247.5413	12899	17.5
8595.3853	12864	36
14575.7345	12836	26
17624.0362	12831	14.5
7206.273	12831	21.5
21828.9263	12828	45
7205.7667	12819	21.5
29820.1993	12693	24.5
12454.6008	12654	22.5
14022.8867	12617	31
32695.6376	12603	32
21828.9269	12599	43.5
28092.7512	12533	35.5
21785.8526	12514	34.5
24082.7296	12428	30.5
18411.4569	12406	34
18702.3788	12378	38
19753.0414	12357	37
32790.6972	12328	31.5
31171.2097	12296	36
13972.4408	12260	29
17823.1668	12247	14.5
8241.4917	12179	11
22537.4802	12171	30
24045.7533	12162	30.5
21827.927	12116	34
33039.2366	11960	42
20862.4149	11946	37
21718.8031	11944	28
13864.5389	11939	32.5
21828.9319	11862	45.5
6890.7812	11852	32
25906.3152	11823	27
8594.8797	11720	36
14078.5215	11680	24.5
15369.5702	11661	35.5
25808.3438	11644	25.5
32870.6406	11516	32
31171.2003	11493	36.5
24384.82	11449	25
13646.6797	11447	25
13238.0168	11437	13.5
18743.3134	11425	38
24153.5745	11409	27
20912.6391	11371	26.5
18743.3156	11356	37.5
9343.6986	11343	37.5
32672.7137	11312	33
13275.2849	11260	26
21916.879	11217	34.5
33262.396	11214	42
18788.2916	11205	37.5
13837.5211	11119	32.5
18769.3325	11087	38.5
21828.9331	11087	43
33950.8475	11041	42
32978.2594	10981	42
41832.8843	10963	40.5
18453.5281	10947	43.5
6890.279	10935	32
15682.6771	10934	23.5
10267.4547	10907	35.5
21881.8886	10851	35
21880.897	10742	34.5
7277.0115	10682	34.5
32772.6829	10669	32.5
21828.9381	10648	42
17594.1517	10643	26
10137.4319	10633	21
25968.2822	10633	25.5
32729.7196	10565	34
21892.9209	10540	33.5
15647.6507	10535	19.5
25967.2866	10507	26
41863.865	10480	40.5
17117.6914	10456	36.5
8521.4707	10446	33.5
13896.8119	10424	32
36053.9179	10409	29
13890.8213	10343	30.5
7277.3368	10250	34.5
21950.8587	10236	34.5
30911.7929	10231	28
26293.592	10226	25.5
16940.1527	10220	25.5
13023.9213	10208	33.5
32853.6565	10158	31.5
25826.3496	10157	26.5
32773.6952	10142	31.5
20962.4298	10134	37
23965.7771	10124	30.5
28789.2993	10108	34.5
28925.7379	10107	31
13796.5253	10056	28.5
12505.8574	10017	22.5
41832.8878	10006	40
18723.3481	9962	37.5
8520.9695	9916	33.5
24003.7627	9901	31
13912.8021	9840	31
18918.3607	9775	29.5
15357.4447	9744	23
34560.3694	9737	25
30970.7655	9729	28
16269.8533	9665	20.5
14646.7647	9664	26.5
19753.058	9646	36
32892.6435	9534	32.5
19959.013	9526	30
24083.7249	9472	31
11456.1515	9420	22.5
18810.2768	9383	38
13524.65	9366	26
13158.047	9346	14
29740.2395	9314	24
21252.2976	9284	23.5
18688.3837	9254	39.5
25846.342	9250	26
13864.5291	9131	32
32684.4531	9127	32
24045.751	9123	31
32853.6535	9038	32
12953.6668	9008	26
11363.3789	8952	31
7276.673	8937	34.5
11456.1547	8936	22
17746.5886	8803	30
24609.9926	8774	44
12953.1653	8729	26
15356.5639	8725	35
21949.8606	8719	35
17288.7082	8707	36.5
32670.6873	8669	32
9238.9932	8650	11
17063.9039	8634	34
21786.8581	8624	35
22155.2759	8597	30
29431.9233	8528	34
34874.0695	8488	43
17222.717	8487	36
11383.3847	8465	31
22446.5249	8414	28.5
27633.5549	8393	37
26293.5936	8375	26
9411.8835	8320	20
12952.6726	8307	25.5
13958.4247	8267	29
41793.8854	8200	40.5
22467.9301	8193	23.5
33262.3985	8184	42.5
20976.7504	8147	22
32711.715	8145	31.5
24629.9934	8126	43
21849.816	8112	32
21728.8223	8085	28
25952.2922	8083	25.5
21893.9107	8079	34
16498.6293	8054	42
33037.2369	8034	41.5
26064.2759	8033	26
25836.3882	8023	34
13952.7928	8006	31
13765.5212	7986	33
21828.9337	7960	42.5
30931.7685	7957	27.5
27948.6934	7913	37
25904.4858	7881	41
25808.3482	7878	26
18725.3398	7854	38
20209.4268	7819	31
20403.1435	7819	36
24545.5663	7803	34
21897.8874	7779	34.5
17302.0392	7770	33
25951.2927	7769	26
25865.3191	7753	25.5
